load_zone,period,Biodiesel,Coal,Diesel,LNG,LSFO,Motor_Diesel,Motor_Gasoline,Pellet-Biomass,Battery,MSW,SUN,WND,GeneratePumpedHydro
Oahu,2020,462.80586217986377,1419.8545689109794,0.0,0.0,4120.862462587291,0,0,0,22.892593416114515,374.92800000000045,1352.4846720379157,184.37447928147242,0.0
Oahu,2021,315.2215874495889,1413.275332197355,0.0,0.0,4101.834290019728,0,0,0,46.501585022429175,374.92800000000005,1410.1055370750398,262.83146472595683,9.285201939434708e-12
Oahu,2022,0.0,1379.6559805887866,0.0,0.0,4033.9351951110334,0,0,0,256.0465073211516,374.9280000000004,1781.038178030845,262.8314647259568,0.0
Oahu,2023,0.0,0,0.0,0.0,5034.391123125806,0,0,0,381.73165196814324,374.92800000000005,2121.9231786204796,262.83146472595695,0.0
Oahu,2024,0.0,0,0.0,0.0,4574.53982905341,0,0,0,514.2345622827436,374.9280000000004,2572.592321432784,262.831464725957,0.0
Oahu,2025,0.0,0,0.0,0.0,4133.394108440441,0,0,0,657.8915484069241,374.92800000000005,2968.0535460187716,262.83146472595695,0.0
Oahu,2026,0.0,0,0.0,0.0,3587.453188980853,0,0,0,853.7749334274649,374.9280000000004,3369.0925834724508,393.5931071334303,0.0
Oahu,2027,-1.1342546408638665e-13,0,-1.1342546408638665e-13,-1.1342546408638665e-13,3045.498684856946,0,0,0,1016.9778578996606,374.92800000000005,3761.388119425634,524.3547495409039,0.0
Oahu,2028,0.7346693034291535,0,0.7346693034291535,0.0,2623.302066392824,0,0,0,1185.6444449458513,374.9280000000004,4054.172890938361,653.0287242094761,0.0
Oahu,2029,0.0,0,0.0,0.0,2206.186277164877,0,0,0,1380.6725102537291,374.92800000000005,4286.2284982238825,783.9055855660199,0.0
Oahu,2030,-1.3251187812321732e-14,0,-1.3251187812321732e-14,-1.3251187812321732e-14,1593.3965307250328,0,0,0,1487.826436229296,374.9280000000004,4709.957795332333,914.397755493242,285.5019531562111
Oahu,2031,0.0,0,0.0,0.0,1556.0245464739212,0,0,0,1515.2895640870724,374.92800000000005,4758.482716067148,914.1154476410862,281.49735765190366
Oahu,2032,0.0,0,0.0,0.0,1567.6403900592325,0,0,0,1543.9515164309535,374.92800000000045,4839.0082666491235,914.3654728518752,286.0703821166703
Oahu,2033,0.0,0,0.0,0.0,1553.2539329384117,0,0,0,1570.1992863633284,374.92800000000005,4905.319343835777,914.4018381653465,293.34341071379424
Oahu,2034,0.0,0,0.0,0.0,1563.9692668580774,0,0,0,1596.6363354198309,374.92800000000045,4979.4384001882545,914.4546877203989,318.83461971943933
Oahu,2035,-1.6210148003057385e-14,0,-1.6210148003057385e-14,-1.6210148003057385e-14,1570.0993334964367,0,0,0,1626.7072891373891,374.92800000000005,5054.652752019496,914.4914703217743,320.2250060767061
Oahu,2036,0.0,0,0.0,0.0,1563.273580712941,0,0,0,1667.280830961169,374.92800000000045,5172.003252112552,913.6915767599586,333.6109417678848
Oahu,2037,1.3530786521302178,0,1.3530786521302105,0.0,1520.117693118052,0,0,0,1705.8022223979215,374.92800000000005,5281.5284924745165,914.4546877203987,338.51064694053326
Oahu,2038,0.0,0,0.0,0.0,1504.7952031358225,0,0,0,1736.9704524256053,374.92800000000045,5399.01474986075,913.5502584326092,328.3965330901182
Oahu,2039,0.0,0,0.0,0.0,1495.457490237734,0,0,0,1773.6432476431214,374.92800000000005,5516.827980916143,913.603979525102,338.21506012220925
Oahu,2040,3.695799588725237e-15,0,3.1770563961485596,3.695799588725237e-15,1499.7281157153598,0,0,0,1832.2185491892794,374.92800000000045,5645.229383399073,913.389794026037,338.68669241567363
Oahu,2041,0.3544582035627742,0,1.9429864016370524,0.0,1405.1073313078741,0,0,0,1941.2876491620436,374.92800000000005,5833.749742378027,922.9973890779329,327.2993776874874
Oahu,2042,0.9292420195033746,0,0.9292420195033746,0.0,1326.8719590216056,0,0,0,2010.9245113916259,374.92800000000045,5969.817285523436,991.972981187693,314.4589319850084
Oahu,2043,0.7029182552206552,0,0.7029182552206552,0.0,1281.2150485353638,0,0,0,2103.284688529817,374.92800000000005,6143.962718461346,991.5618357610173,302.6972328862803
Oahu,2044,0.0,0,0.0,0.0,1195.5862769937762,0,0,0,1993.159452164379,374.92800000000045,6002.84595767154,1351.371857829617,296.6946876780062
Oahu,2045,486.5423190896192,0,0.0,0.0,0.0,0,0,0,2137.166020108931,374.92800000000005,6470.3688310638145,1715.9590131070727,293.7553336518105
Oahu,2046,341.9127181265731,0,0.0,0.0,0.0,0,0,0,1568.884772437806,374.92800000000045,5575.1402432653,2789.2791873084216,303.15495011441203
Oahu,2047,229.35678929890938,0,0.0,0.0,0.0,0,0,0,1117.125142500932,374.92800000000005,4694.260823027489,3816.812685716053,268.81822757753105
Oahu,2048,150.63841310835443,0,0.0,0.0,0.0,0,0,0,895.3879777730964,374.92800000000045,3980.688913338082,4657.164597129047,224.4900748089178
Oahu,2049,105.61745450063364,0,0.0,0.0,0.0,0,0,0,797.0851274551802,374.92800000000005,3643.228116476376,5089.214286302802,181.87689646483736
Oahu,2050,91.90268225584596,0,6.078805501146519e-15,6.078805501146519e-15,6.078805501146519e-15,0,0,0,766.5944412006418,0,3366.206854654203,5812.076344307917,186.71058187429142
